               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.025494,            0.046971,            0.013267,             0.96516,             0.93259,             0.95644,             0.72077,            0.021329,            0.029616,           0.0072287,            0.006502,            0.006502,            0.006502
                  55,            0.025558,            0.047357,            0.013103,             0.95139,             0.93627,             0.95469,             0.71954,            0.021361,            0.029737,           0.0073074,            0.006436,            0.006436,            0.006436
                  56,            0.025485,             0.04692,            0.013225,             0.96709,             0.91682,             0.95171,             0.71774,             0.02136,            0.029654,           0.0076584,             0.00637,             0.00637,             0.00637
                  57,            0.025454,            0.047022,             0.01323,             0.96395,             0.92352,              0.9531,             0.72126,            0.021302,             0.02963,           0.0073129,            0.006304,            0.006304,            0.006304
                  58,            0.025475,            0.047466,            0.013112,              0.9584,             0.92896,             0.95391,             0.72089,            0.021348,            0.029665,           0.0075555,            0.006238,            0.006238,            0.006238
                  59,            0.025316,            0.046986,            0.013043,             0.96449,             0.92929,             0.95346,             0.72016,            0.021418,            0.029907,           0.0073026,            0.006172,            0.006172,            0.006172
                  60,            0.025195,            0.046701,            0.012777,             0.96273,             0.93296,             0.95464,             0.71986,            0.021416,              0.0297,           0.0071427,            0.006106,            0.006106,            0.006106
                  61,            0.025178,            0.046641,            0.012854,             0.96729,             0.93107,             0.95326,              0.7184,            0.021485,            0.029828,           0.0072786,             0.00604,             0.00604,             0.00604
                  62,            0.025028,            0.046355,            0.012958,             0.96382,             0.92924,             0.95286,             0.71969,            0.021402,            0.029964,           0.0072067,            0.005974,            0.005974,            0.005974
                  63,             0.02502,             0.04673,            0.012758,             0.96567,             0.92778,             0.95443,              0.7213,            0.021419,            0.029818,           0.0069819,            0.005908,            0.005908,            0.005908
                  64,            0.025071,            0.046121,            0.012658,             0.96083,             0.93351,             0.95383,             0.72095,            0.021389,            0.029804,           0.0070565,            0.005842,            0.005842,            0.005842
                  65,            0.024972,            0.046175,            0.012466,              0.9589,             0.92935,             0.95292,             0.71916,            0.021394,            0.029769,           0.0074399,            0.005776,            0.005776,            0.005776
                  66,             0.02494,              0.0466,            0.012617,             0.96298,             0.93496,             0.95505,             0.72251,            0.021326,            0.029731,           0.0073388,             0.00571,             0.00571,             0.00571
                  67,            0.024776,            0.046031,            0.012416,             0.96474,             0.93441,             0.95594,             0.72343,            0.021305,            0.029749,           0.0073697,            0.005644,            0.005644,            0.005644
                  68,            0.024672,             0.04569,             0.01248,             0.96353,             0.93629,             0.95592,             0.72367,            0.021334,            0.029735,           0.0073684,            0.005578,            0.005578,            0.005578
                  69,            0.024793,            0.045862,            0.012497,             0.95864,             0.93806,             0.95586,             0.72386,            0.021439,            0.029836,           0.0074824,            0.005512,            0.005512,            0.005512
                  70,            0.024686,             0.04584,            0.012215,             0.95853,             0.93808,             0.95538,              0.7229,            0.021505,            0.029882,           0.0072682,            0.005446,            0.005446,            0.005446
                  71,            0.024688,            0.045991,            0.012135,             0.96472,              0.9291,             0.95472,             0.72262,            0.021515,            0.029913,           0.0073389,             0.00538,             0.00538,             0.00538
                  72,            0.024529,            0.045624,             0.01228,             0.97004,             0.92577,              0.9555,             0.72153,            0.021468,            0.029975,           0.0072523,            0.005314,            0.005314,            0.005314
                  73,            0.024357,            0.045481,            0.012199,             0.96986,             0.93096,             0.95506,             0.72149,             0.02143,            0.029929,           0.0072507,            0.005248,            0.005248,            0.005248
                  74,            0.024248,            0.045173,             0.01201,             0.96571,             0.93493,             0.95569,             0.72277,            0.021361,            0.029935,           0.0072731,            0.005182,            0.005182,            0.005182
                  75,            0.024375,            0.045062,            0.012096,             0.96575,             0.93788,             0.95498,             0.72128,            0.021402,            0.029944,           0.0073215,            0.005116,            0.005116,            0.005116
                  76,            0.024269,            0.045277,            0.012029,             0.96493,              0.9386,             0.95473,              0.7214,            0.021471,            0.029989,           0.0073907,             0.00505,             0.00505,             0.00505
                  77,            0.024259,            0.044831,            0.011923,              0.9626,             0.94066,             0.95549,             0.72212,            0.021452,            0.029995,           0.0073328,            0.004984,            0.004984,            0.004984
                  78,            0.024208,            0.044928,            0.012102,             0.96402,             0.94238,             0.95624,             0.72427,            0.021479,            0.029969,           0.0073565,            0.004918,            0.004918,            0.004918
                  79,            0.024053,            0.044589,            0.011883,             0.96858,             0.93505,             0.95614,              0.7229,            0.021459,            0.030007,           0.0072558,            0.004852,            0.004852,            0.004852
                  80,            0.024017,            0.044737,            0.011856,             0.96712,              0.9373,             0.95637,             0.72316,            0.021439,            0.029978,           0.0073674,            0.004786,            0.004786,            0.004786
                  81,             0.02405,            0.045319,            0.011835,             0.96933,             0.93635,             0.95648,             0.72324,             0.02145,            0.029962,           0.0072539,             0.00472,             0.00472,             0.00472
                  82,            0.023945,            0.044812,            0.011791,             0.97101,             0.93554,             0.95617,             0.72187,            0.021463,            0.029992,            0.007306,            0.004654,            0.004654,            0.004654
                  83,            0.023952,            0.044771,            0.011657,             0.96968,             0.93583,             0.95582,             0.72205,            0.021456,            0.029982,           0.0073629,            0.004588,            0.004588,            0.004588
                  84,            0.023743,            0.044496,            0.011623,             0.96915,             0.93621,             0.95632,             0.72294,            0.021466,            0.029936,           0.0073098,            0.004522,            0.004522,            0.004522
                  85,            0.023803,            0.044197,             0.01141,             0.96992,             0.93458,             0.95642,              0.7228,            0.021478,            0.029914,           0.0073024,            0.004456,            0.004456,            0.004456
                  86,            0.023655,            0.043624,            0.011442,             0.96888,             0.93532,              0.9561,              0.7232,            0.021472,            0.029935,           0.0073398,             0.00439,             0.00439,             0.00439
                  87,            0.023706,            0.044392,            0.011439,             0.97194,             0.93348,             0.95537,             0.72357,            0.021486,            0.029973,           0.0073715,            0.004324,            0.004324,            0.004324
                  88,            0.023616,            0.044142,            0.011383,             0.96768,             0.93663,             0.95584,             0.72441,            0.021497,            0.029977,           0.0073367,            0.004258,            0.004258,            0.004258
                  89,            0.023589,            0.043838,            0.011307,             0.96861,             0.93506,             0.95569,             0.72377,            0.021521,            0.029997,            0.007312,            0.004192,            0.004192,            0.004192
